iter	MultiClass
0	1.044007558
1	1.010374758
2	0.9805257454
3	0.9604227555
4	0.9421252459
5	0.9270663647
6	0.9141205078
7	0.9014335317
8	0.8928927258
9	0.8841814996
10	0.876711823
11	0.8677113459
12	0.8587673167
13	0.8491649373
14	0.8427600207
15	0.8357799556
16	0.8294956448
17	0.8235456929
18	0.816541401
19	0.8101857262
20	0.8036840569
21	0.7992623835
22	0.7928071945
23	0.7879443373
24	0.7831831834
25	0.7792804569
26	0.7742931032
27	0.7687780526
28	0.7640729835
29	0.7590794656
30	0.755118614
31	0.7511361281
32	0.7472051486
33	0.7440288839
34	0.7408499051
35	0.7371862041
36	0.7338033878
37	0.7305410629
38	0.7268810981
39	0.7233002196
40	0.7193976822
41	0.7159560612
42	0.71278434
43	0.709592397
44	0.7064707722
45	0.7034575538
46	0.700509985
47	0.6974642904
48	0.6943401549
49	0.6917657138
50	0.6895316535
51	0.6868704332
52	0.6842873482
53	0.6820751696
54	0.6795928688
55	0.6773009337
56	0.67500629
57	0.6729191128
58	0.670843912
59	0.6687747438
60	0.6669938553
61	0.6651706217
62	0.6630789692
63	0.6609006777
64	0.6587713301
65	0.6565945463
66	0.6545492387
67	0.6525084685
68	0.6505370828
69	0.6484926297
70	0.6465867501
71	0.6449493017
72	0.643260271
73	0.6415948561
74	0.6396156204
75	0.6379170396
76	0.6362506668
77	0.6343990217
78	0.6327838853
79	0.631643774
80	0.6300019467
81	0.6285689626
82	0.6272502658
83	0.625878778
84	0.6244417855
85	0.6232508939
86	0.6218521942
87	0.6204418625
88	0.6190437423
89	0.6175934648
90	0.6162326948
91	0.6148631656
92	0.6136308596
93	0.6124695064
94	0.6111791739
95	0.6099253982
96	0.6085905273
97	0.6072344677
98	0.6060728064
99	0.604855395
100	0.6034797295
101	0.6022897685
102	0.6010289496
103	0.5998964678
104	0.5988751685
105	0.5978661053
106	0.5971354022
107	0.5961276389
108	0.5950125781
109	0.5940622171
110	0.5930714445
111	0.5921056235
112	0.5910901158
113	0.5899179404
114	0.5889096028
115	0.5879110569
116	0.5870867659
117	0.5860843946
118	0.5852275364
119	0.5843456978
120	0.5834502936
121	0.5828718269
122	0.5818292668
123	0.5808325079
124	0.5798903033
125	0.5790081512
126	0.5781033219
127	0.5772641288
128	0.5766772864
129	0.5759031823
130	0.5751169891
131	0.5744056736
132	0.5737144867
133	0.5730647
134	0.5722573885
135	0.5713209238
136	0.570522449
137	0.5697312556
138	0.5689462496
139	0.568336278
140	0.5676308479
141	0.5669692258
142	0.5662485677
143	0.5655612803
144	0.5648091151
145	0.564059345
146	0.5633509954
147	0.562654077
148	0.5621392738
149	0.5614930586
150	0.5609076157
151	0.5602543777
152	0.5596081823
153	0.5590688777
154	0.5584346409
155	0.5578349074
156	0.5571264844
157	0.5564263165
158	0.5557742729
159	0.555163382
160	0.5545777816
161	0.5539753358
162	0.5533166644
163	0.5527433681
164	0.5521986421
165	0.5517315308
166	0.5512273013
167	0.5506704359
168	0.5500984893
169	0.5495603434
170	0.5489764343
171	0.5485151815
172	0.5479989944
