iter	Passed	Remaining
0	251	251256
1	334	166723
2	403	134194
3	472	117550
4	544	108396
5	614	101727
6	686	97341
7	761	94429
8	839	92475
9	914	90551
10	991	89142
11	1064	87617
12	1137	86333
13	1212	85393
14	1286	84469
15	1359	83636
16	1433	82903
17	1502	81987
18	1569	81019
19	1637	80223
20	1704	79480
21	1772	78788
22	1841	78212
23	1914	77847
24	1988	77555
25	2063	77313
26	2136	76995
27	2206	76580
28	2274	76165
29	2342	75753
30	2408	75293
31	2476	74917
32	2544	74550
33	2613	74262
34	2679	73878
35	2753	73729
36	2826	73573
37	2901	73451
38	2969	73179
39	3042	73023
40	3113	72832
41	3183	72612
42	3250	72334
43	3319	72119
44	3390	71960
45	3463	71838
46	3535	71680
47	3604	71494
48	3672	71267
49	3741	71081
50	3813	70960
51	3886	70852
52	3958	70732
53	4025	70526
54	4098	70422
55	4169	70281
56	4238	70116
57	4305	69931
58	4372	69743
59	4440	69570
60	4507	69378
61	4573	69197
62	4645	69088
63	4711	68904
64	4779	68754
65	4853	68691
66	4921	68539
67	4990	68404
68	5060	68285
69	5130	68165
70	5196	67988
71	5262	67826
72	5331	67703
73	5398	67560
74	5468	67449
75	5537	67330
76	5609	67244
77	5675	67082
78	5743	66959
79	5813	66856
80	5881	66728
81	5952	66642
82	6026	66576
83	6094	66458
84	6162	66340
85	6229	66211
86	6297	66089
87	6365	65967
88	6435	65877
89	6504	65766
90	6576	65695
91	6659	65724
92	6744	65778
93	6835	65885
94	6912	65852
95	6988	65807
96	7065	65775
97	7155	65855
98	7227	65781
99	7295	65660
100	7362	65534
101	7433	65442
102	7504	65354
103	7583	65338
104	7662	65311
105	7733	65226
106	7800	65102
107	7869	64999
108	7942	64922
109	8014	64843
110	8088	64777
111	8161	64706
112	8240	64686
113	8315	64623
114	8390	64571
115	8467	64527
116	8543	64481
117	8617	64412
118	8690	64340
119	8765	64280
120	8834	64179
121	8903	64075
122	8971	63967
123	9042	63883
124	9114	63803
125	9184	63710
126	9252	63601
127	9317	63476
128	9386	63376
129	9457	63291
130	9527	63200
131	9605	63165
132	9684	63131
133	9759	63074
134	9837	63031
135	9909	62956
136	9982	62883
137	10055	62812
138	10127	62735
139	10204	62687
140	10283	62646
141	10362	62612
142	10439	62566
143	10517	62519
144	10593	62465
145	10671	62423
146	10746	62357
